geoid_2010,geoid_2020,AREALAND_INT
060014013003001,060014013003005,10679
060014013003002,060014013003001,11368
060014013003003,060014013003002,36058
060014013003004,060014013003003,2644
060014013003005,060014013003006,4767
060014013003006,060014013003007,25929
060014013003007,060014013003008,25283
060014013003008,060014013003009,23718
060014013003009,060014013003010,7416
060014013003010,060014013003011,12870
060014013003011,060014013003012,14720
060014013003012,060014013003013,7046
060014013003013,060014013003013,839
060014013003014,060014013003014,7933
060014014001000,060014013001003,744
060014014001001,060014014001006,29850
060014014001002,060014014001007,21491
060014014001003,060014014001001,9795
060014014001004,060014014001002,228
060014014001005,060014014001004,25883
060014014001006,060014014001003,1401
060014014001007,060014014001012,1020
060014014001008,060014014001011,17012
060014014001009,060014014001010,557
060014014001010,060014014001005,24170
060014014001011,060014014001010,20259
060014014001012,060014014001010,604
060014014001013,060014014001009,15517
060014014001014,060014014001009,593
060014014001015,060014014001008,35487
060014014001016,060014013001024,382
060014014001017,060014013001004,2307
060014014001018,060014014001008,5055
060014014002000,060014014002000,547
060014014002001,060014014002000,14325
060014014002002,060014014002002,583
060014014002003,060014014002002,20307
060014014002004,060014014002003,553
060014014002005,060014014002003,13215
060014014002006,060014014002004,1169
060014014002007,060014014002005,966
060014014002008,060014014002005,12457
060014014002009,060014014002005,694
060014014002010,060014014002006,21852
060014014002011,060014014002006,560
060014014002012,060014014002008,11636
060014014002013,060014014002008,386
060014014002014,060014014002013,847
060014014002015,060014014002013,21288
060014014002016,060014014002011,861
060014014002017,060014014002011,26720
060014014002018,060014014002011,777
060014014002019,060014014002010,7099
060014014002020,060014014002009,1816
060014014002021,060014014002016,932
060014014002022,060014014002016,462
060014014002023,060014014002016,2021
060014014002024,060014014002015,27882
060014014002025,060014014002014,21488
060014014002026,060014014002021,20966
060014014002027,060014014002017,24682
060014014002028,060014014002017,410
060014014002029,060014014002016,499
060014014003000,060014014003000,5957
060014014003001,060014014003001,7026
060014014003002,060014014003009,3593
060014014003003,060014014003010,845
060014014003004,060014014003011,3199
060014014003005,060014014003003,25521
060014014003006,060014014003005,6459
060014014003007,060014014003006,12661
060014014003008,060014014003006,467
060014014003009,060014014003006,887
060014014003010,060014014003010,11018
